name,slug,id,callSign,tmsid,time_shift
BACKSTAGE,backstage,68fa84637ac952737656ae5f-608aec5fa09205002da4f28f,,117060,
Estrella News,estrella-news,68fa84637ac952737656ae5f-60089d97f682a3002c34829b,,117478,
The Design Network,the-design-network,68fa84637ac952737656ae5f-5f0641d3e8ffda004033b16e,,118087,
Tiny House Nation,tiny-house-nation,68fa84637ac952737656ae5f-63c1e176f0f132afc3afbab0,,118456,
Ryan and Friends,ryan-and-friends,68fa84637ac952737656ae5f-5f91c4ea96a391002df9a664,,118462,
pocket.watch Game-On,pocket-watch-game-on,68fa84637ac952737656ae5f-5f91c4ea96a391002df9a661,,118464,
MagellanTV NOW,magellantv-now,68fa84637ac952737656ae5f-5f5132e262fe160040f26bf2,,119209,
Nosey,nosey,68fa84637ac952737656ae5f-5f0ff262d71dcb00449ec015,,119233,-5
beIN Sports Xtra en Español,bein-sports-xtra-en-espanol,68fa84637ac952737656ae5f-64a8903d273b89c4e7396553,,119661,
Antiques Roadshow UK,antiques-roadshow-uk,68fa84637ac952737656ae5f-630902bf0417b7074a4ad95c,,120073,-5
BBC Home & Garden,bbc-home-and-garden,68fa84637ac952737656ae5f-6308eda9ac9983739c8a29bb,,120074,-5
BBC Food,bbc-food,68fa84637ac952737656ae5f-630905af0417b7074a4ad95e,,120076,-5
Classic Doctor Who,classic-doctor-who,68fa84637ac952737656ae5f-63068b870bbec3b06755a0ee,,120086,-5
Choppertown,choppertown,68fa84637ac952737656ae5f-5ef11487d33ab9004048a1d3,,120283,
beIN SPORTS XTRA,bein-sports-xtra,68fa84637ac952737656ae5f-60a53634126de9002e694bc4,,120375,
Are We There Yet?,are-we-there-yet,68fa84637ac952737656ae5f-612919784f53e1002c9aa219,,120377,
Billiard TV,billiard-tv,68fa84637ac952737656ae5f-6334a8e48a7b2a349d903b8c,,120469,
This Old House,this-old-house,68fa84637ac952737656ae5f-62e3232ca105dea9c400e9fe,,120480,
Baywatch,baywatch,68fa84637ac952737656ae5f-63e63f20abacad42ed3d1acf,,120491,
Hi-YAH!,hi-yah,68fa84637ac952737656ae5f-5f64c4ef35f612003f6ffe30,,120790,
True Crime Now,true-crime-now,68fa84637ac952737656ae5f-61ae679103baf19077bbf933,,120802,
Newsmax2,newsmax2,68fa84637ac952737656ae5f-5fb81660b7ad2d002dcb7335,,121162,
The Pet Collective,the-pet-collective-2,68fa84637ac952737656ae5f-5f170d61b898490041b49369,,121165,
Holiday Movie Favorites by Lifetime,holiday-movie-favorites-by-lifetime,68fa84637ac952737656ae5f-63c1e47ef0f132afc3afbab2,,121308,
Waypoint TV,waypoint-tv,68fa84637ac952737656ae5f-5fd115b8b7ef8d002dcf1817,,121424,
Maverick Black Cinema,maverick-black-cinema,68fa84637ac952737656ae5f-5ef4e1b40d9ad000423c4430,,121534,-5
Supermarket Sweep,supermarket-sweep,68fa84637ac952737656ae5f-64b719768ec13d5dcb7e6bb4,,121598,
The Archive,the-archive,68fa84637ac952737656ae5f-5eea605674085f0040ddc7a0,,121651,
Real Crime,real-crime-2,68fa84637ac952737656ae5f-636d9d2d4ea1109a7d205a70,,121656,
