name,slug,plex_slug,id,callSign,tmsid,time_shift,notes,notes2,notes3
JAIL,jail,plex-jail,6448ba1baf92c31f4a190c27,,147152,-5,,0,1
Johnny Carson TV,johnny-carson-tv,plex-johnny-carson-tv,60d4edd6b2fdec002c141123,,115370,,,0,1
Journy,journy,plex-journy,5f5132df62fe160040f26bc2,,155568,,,0,0
Judge Faith,judge-faith,plex-judge-faith,5f5132da62fe160040f26b5b,,145519,,,0,1
KMGH,kmgh,plex-kmgh,6578a9dcfb1a19389c93fc7b,,33903,,,0,0
Law & Crime,law-and-crime,plex-law-and-crime,5eea605674085f0040ddc79d,,109553,,,0,8
Lawless,lawless,plex-lawless,654a6d313713a28d9f0b917f,,145442,,,0,1
LOL! Network,lol-network-2,plex-lol-network-2,628ea9fcffe4cec6361f5310,,125215,-5,,0,1
Love Nature,love-nature,plex-love-nature,60995eb136c72d002da7bbcb,,128066,,,0,0
Love Pets,love-pets,plex-love-pets,63fe7d7eb6312779f56504d3,,133153,,,0,0
MagellanTV Wildest,magellantv-wildest-3,plex-magellantv-wildest-3,5f5132e262fe160040f26bf2,,119209,,,0,2
Matched Married Meet,matched-married-meet,plex-matched-married-meet,63ec126f9866d8d2120ac75b,,129047,-6,,0,1
Maverick Black Cinema,maverick-black-cinema,plex-maverick-black-cinema,5ef4e1b40d9ad000423c4430,,121534,-5,,0,1
Mi Casa,mi-casa,plex-mi-casa,666e1c83d91d13cb4c8cbb71,,151308,,,0,1
Midsomer Murders,midsomer-murders,plex-midsomer-murders,63d6fc71a9e88ee909e7ee23,,122437,-5,,0,1
Military Heroes Presented By History,military-heroes-presented-by-history,plex-military-heroes-presented-by-history,63ec15d6290593c3fc279f4a,,126439,,,0,0
Miramax Movie Channel,miramax-movie-channel,plex-miramax-movie-channel,661fca34414d94009d1206ec,,157054,,,0,0
Modern Innovations by History,modern-innovations-by-history,plex-modern-innovations-by-history,67ae8ad1a9b2dfa7f83e17d6,,159923,,,0,0
Modern Marvels by History,modern-marvels-by-history,plex-modern-marvels-by-history,63c97da7187b3c9f3581fdfd,,123433,,,0,0
Monster Jam,monster-jam,plex-monster-jam,6615885e1eabecf2c9d56495,,153411,,,0,8
Movie Favorites by Lifetime,movie-favorites-by-lifetime,plex-movie-favorites-by-lifetime,63c1e47ef0f132afc3afbab2,,121308,,,0,2
Movie Music by Stingray,movie-music-by-stingray,plex-movie-music-by-stingray,62fbf197c67d52bddf74cc87,,114642,,,0,0
MOVIESPHERE,moviesphere,plex-moviesphere,5fb84bc1b7ad2d002dcb735f,,115944,,,0,0
MST3K,mst3k,plex-mst3k,60d4eddbb2fdec002c141133,,113781,,,0,1
My Little Pony,my-little-pony,plex-my-little-pony,67182cd9d321899c5dc8a00c,,173954,,,0,0
Mysteria,mysteria,plex-mysteria,664294d20e0ec7b4ce5eb28e,,160863,,,0,1
Mysterious Worlds,mysterious-worlds,plex-mysterious-worlds,66a1af9677649467da169f12,,138032,,169313,0,0
Mythical 24/7,mythical-24-7,plex-mythical-24-7,650b5bb3f4b2d9579946a500,,142109,,,0,1
Nash Bridges,nash-bridges,plex-nash-bridges,6668b69889c051b3733f9b60,,158128,,,0,0
National Lampoon,national-lampoon,plex-national-lampoon,661fcbcf414d94009d1206ee,,157057,,,0,0
Naturaleza,naturaleza,plex-naturaleza,666e2178d91d13cb4c8cbb75,,151311,,,0,1
